SUMMARY,DESCRIPTION,DATE_VALUE,NOTE,START_TIME,MINUTES_ATTENDED,LOCATION
Computer Science (HXCOS.1),Day 3 Period 5,16 Aug 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 8 Period 5,23 Aug 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 3 Period 5,30 Aug 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 8 Period 5,06 Sep 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 3 Period 5,13 Sep 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 8 Period 5,20 Sep 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 8 Period 5,11 Oct 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 3 Period 5,18 Oct 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 8 Period 5,25 Oct 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 8 Period 5,08 Nov 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 3 Period 5,15 Nov 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 8 Period 5,22 Nov 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 3 Period 5,29 Nov 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 8 Period 5,06 Dec 2023,,14:20,70,A504
Computer Science (HXCOS.1),Day 3 Period 5,13 Dec 2023,,14:20,70,A504
Computer Science (HXCOS.2),Day 8 Period 5,03 Jan 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,10 Jan 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 8 Period 5,17 Jan 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,24 Jan 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 8 Period 5,31 Jan 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,21 Feb 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 8 Period 5,28 Feb 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,06 Mar 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 8 Period 5,13 Mar 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,20 Mar 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 8 Period 5,27 Mar 2024,PTSC#2 (G6-10),14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,10 Apr 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 8 Period 5,17 Apr 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,24 Apr 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,08 May 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,22 May 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 3 Period 5,05 Jun 2024,,14:20,70,A501
Computer Science (HXCOS.2),Day 8 Period 5,12 Jun 2024,,14:20,70,A501
Computer Science (HXCOS.3),Day 8 Period 4,03 Jan 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,10 Jan 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 8 Period 4,17 Jan 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,24 Jan 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 8 Period 4,31 Jan 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,21 Feb 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 8 Period 4,28 Feb 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,06 Mar 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 8 Period 4,13 Mar 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,20 Mar 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 8 Period 4,27 Mar 2024,PTSC#2 (G6-10),12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,10 Apr 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 8 Period 4,17 Apr 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,24 Apr 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,08 May 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,22 May 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 3 Period 4,05 Jun 2024,,12:00,70,A501
Computer Science (HXCOS.3),Day 8 Period 4,12 Jun 2024,,12:00,70,A501
Computer Science (HXCOS.4),Day 3 Period 4,16 Aug 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 8 Period 4,23 Aug 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 3 Period 4,30 Aug 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 8 Period 4,06 Sep 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 3 Period 4,13 Sep 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 8 Period 4,20 Sep 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 8 Period 4,11 Oct 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 3 Period 4,18 Oct 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 8 Period 4,25 Oct 2023,,12:00,70,A508
Computer Science (HXCOS.4),Day 8 Period 4,08 Nov 2023,,12:00,70,A508
